City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,78.84,light rain,-9.8,-139.0333,Villa Enata
4,Rikitea,PF,78.89,clear sky,-23.1203,-134.9692,People ThankYou
6,Dingle,PH,76.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
7,Tabou,CI,86.07,overcast clouds,4.423,-7.3528,hotêl doufoulougou
9,Waingapu,ID,78.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
10,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
15,San Cosme Y Damian,PY,71.78,clear sky,-27.3167,-56.35,Posada Turística Aguapey
17,Chuy,UY,74.28,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
18,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
19,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
20,Sambava,MG,79.61,light rain,-14.2667,50.1667,Melrose
21,Castro,BR,75.07,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
23,Lubango,AO,82.26,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
24,Karabuk,TR,73.69,clear sky,41.2049,32.6277,Elit Uzungol Hotel
34,Saint-Philippe,RE,81.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
36,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
37,Isangel,VU,80.6,overcast clouds,-19.55,169.2667,Tanna Lodge
38,Salalah,OM,87.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
44,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Caravelas,BR,86.72,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
49,Matara,LK,79.65,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
54,Guantanamo,CU,80.17,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
60,Acapulco,MX,71.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
61,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
63,Hermanus,ZA,70.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
70,Saint-Pierre,RE,81.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
75,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
77,Keningau,MY,71.35,light rain,5.3378,116.1602,Sabindo Hotel
78,Butaritari,KI,79.97,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Awjilah,LY,84.04,broken clouds,29.1081,21.2869,المنزل
80,Sinnamary,GF,80.1,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
82,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
83,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
84,Harper,LR,86.86,overcast clouds,4.375,-7.7169,Screensaver
89,Parlakimidi,IN,82.71,overcast clouds,18.7667,84.0833,APEPDCL
92,Saint-Joseph,RE,80.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
94,San Felipe,VE,77.04,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
97,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
102,Hithadhoo,MV,84.07,overcast clouds,-0.6,73.0833,Scoop Guest House
106,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
107,Pangkalanbuun,ID,74.17,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
110,Cape Town,ZA,81.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
112,Saldanha,ZA,86.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
113,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
114,Komsomolskiy,UZ,77.72,overcast clouds,40.4272,71.7189,Ikathouse
115,Puerto Ayora,EC,79.43,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
118,Marrakesh,MA,84.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
122,Victoria,HK,75.18,clear sky,22.2855,114.1577,Mini Hotel Central
123,Sorong,ID,80.11,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
124,Sao Jose Da Coroa Grande,BR,82.83,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
125,Sur,OM,92.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
129,Bandarbeyla,SO,82.62,overcast clouds,9.4942,50.8122,JABIR HOTEL
131,Kloulklubed,PW,72.1,light rain,7.0419,134.2556,Storyboard Beach Resort
134,Machhlishahr,IN,93.47,clear sky,25.6833,82.4167,Dulhan pelece
135,Kulhudhuffushi,MV,85.14,overcast clouds,6.6221,73.07,Haajy Guest House 1
136,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
140,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
147,San Patricio,US,71.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
151,Saravena,CO,92.73,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
156,Mabaruma,GY,81.59,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
157,Arraial Do Cabo,BR,82.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
158,Mayumba,GA,81.0,light rain,-3.432,10.6554,LIKWALE LODGE
161,Trincomalee,LK,82.85,light rain,8.5711,81.2335,Welcombe Hotel
164,Ormara,PK,81.9,few clouds,25.2088,64.6357,Kenara Colony house for Rent
167,Daru,PG,80.4,overcast clouds,-9.0763,143.2092,Daru Lodge
171,Bahir Dar,ET,85.48,clear sky,11.5936,37.3908,"Delano Hotel, Bahir Dar"
172,Yambio,SS,93.25,overcast clouds,4.5721,28.3955,Naivasha Hotel
173,Itoman,JP,72.37,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
174,Aksu,CN,75.72,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
181,Guanica,PR,83.53,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
183,Menongue,AO,80.64,scattered clouds,-14.6585,17.691,Ritz Lauca
185,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Base Lodging
186,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
189,Presidencia Roque Saenz Pena,AR,77.22,clear sky,-26.7852,-60.4388,Hotel Gualok
190,Maligaya,PH,77.47,overcast clouds,15.6742,120.8897,Carahauz Boutique Hotel and Cafe
192,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
199,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
201,Hirara,JP,72.3,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
204,Poum,NC,79.75,overcast clouds,-20.2333,164.0167,
205,Rockhampton,AU,73.29,overcast clouds,-23.3833,150.5,Mercure Rockhampton
214,Muleba,TZ,75.09,clear sky,-1.8397,31.6544,DIGNITY GUEST (RUGAIMUKAMU)
221,Sangre Grande,TT,86.94,few clouds,10.5835,-61.1177,Lotus drive
224,Grindu,RO,74.32,clear sky,44.7667,26.9167,half of the heart
237,Farrukhnagar,IN,89.31,overcast clouds,17.0778,78.2011,Musthafa Five Star Kiranam
241,Mumford,GH,85.37,scattered clouds,5.2618,-0.759,Spanish Villa
243,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
246,Gamba,GA,73.17,moderate rain,-2.65,10.0,
250,Birjand,IR,84.67,haze,32.8663,59.2211,Birjand Tourist Hotel
254,Teluknaga,ID,88.61,scattered clouds,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
257,Hobyo,SO,83.91,few clouds,5.3505,48.5268,Iftin hotel hobyo
258,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
259,Waddan,LY,84.18,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
260,Faanui,PF,82.06,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
262,Pasaco,GT,84.92,scattered clouds,13.9772,-90.2064,Eco Hotel Playa Quilombo de Curumbe
266,Morant Bay,JM,84.7,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
281,Nusaybin,TR,72.34,clear sky,37.0778,41.2178,Aydinlar Hotel
283,Bonthe,SL,85.14,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
284,Puerto Suarez,BO,84.76,scattered clouds,-18.95,-57.8,Hotel casa real
290,Bandarban,BD,83.91,clear sky,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
291,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
294,Castelo,BR,87.73,overcast clouds,-20.6036,-41.1847,Pousada Lua & Sol
303,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
306,Bataipora,BR,82.56,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
307,Naron,ES,70.56,overcast clouds,43.5167,-8.1528,Marcial
308,Antalaha,MG,80.02,light rain,-14.9003,50.2788,Hotel Vitasoa
309,San Javier,ES,79.47,clear sky,37.8063,-0.8374,Hotel Mar Menor
311,Ternate,ID,81.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
313,Songkhla,TH,80.65,scattered clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
315,Zambezi,ZM,75.63,light rain,-13.5432,23.1047,Royal Kutachika Lodge
316,Katobu,ID,75.56,overcast clouds,-4.9408,122.5276,La Ode Husein
318,Sola,VU,82.72,scattered clouds,-13.8833,167.55,Leumerus Bungalows
321,Nalut,LY,84.24,clear sky,30.3333,10.85,
326,Honiara,SB,77.61,broken clouds,-9.4333,159.95,Heritage Park Hotel
327,Sibolga,ID,78.57,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
328,Paso De Los Toros,UY,72.93,clear sky,-32.8167,-56.5167,Complejo Isabelino
329,Kavieng,PG,81.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
331,Koumac,NC,77.65,overcast clouds,-20.5667,164.2833,Le Monitel
333,Itarema,BR,84.04,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
335,Pangai,TO,81.27,clear sky,-19.8,-174.35,Ha'apai Beach Resort
338,Atambua,ID,72.73,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
342,Kununurra,AU,71.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
344,Roebourne,AU,86.65,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
346,Meulaboh,ID,79.23,overcast clouds,4.1363,96.1285,Kost Pria
348,Satipo,PE,71.62,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
349,Dzilam Gonzalez,MX,75.61,broken clouds,21.2833,-88.9333,posadas
353,Vila Velha,BR,87.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
355,Sao Filipe,CV,76.91,scattered clouds,14.8961,-24.4956,Hotel Xaguate
358,Manado,ID,77.77,scattered clouds,1.487,124.8455,Aryaduta Hotel
360,Touros,BR,87.31,few clouds,-5.1989,-35.4608,INN NEW HORIZON
362,Totness,SR,78.91,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
363,Carupano,VE,82.36,broken clouds,10.6678,-63.2585,Hotel La dorada
368,Omboue,GA,72.27,moderate rain,-1.5746,9.2618,Hotel Olako
372,Lorengau,PG,79.11,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
374,Taoudenni,ML,94.73,clear sky,22.6783,-3.9836,
375,Zhuhai,CN,75.85,clear sky,22.2769,113.5678,珠海粤财假日酒店
377,Emborion,GR,73.76,clear sky,40.4833,21.55,Villa Kastanodasos
384,Rodrigues Alves,BR,77.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
387,Trairi,BR,79.09,overcast clouds,-3.2778,-39.2689,janelas do mar
388,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
390,Kokopo,PG,78.82,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
394,Amapa,BR,83.3,broken clouds,1.0,-52.0,
396,Kalangala,UG,81.75,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
397,Puerto Baquerizo Moreno,EC,78.57,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
398,Rayong,TH,87.8,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
399,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
404,Murgab,TM,87.67,clear sky,37.4966,61.9714,
405,Namibe,AO,76.66,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
406,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
408,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
416,Acari,PE,76.26,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
417,Kavaratti,IN,84.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
424,Labuhan,ID,79.75,broken clouds,-6.8844,112.2051,DoubleFAG
428,Tiznit,MA,82.45,clear sky,29.5833,-9.5,
430,Praya,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
431,Luklukan,PH,77.56,overcast clouds,14.3254,122.7124,Nipa Nipa Beach
433,Kalianget,ID,81.28,moderate rain,-7.05,113.9333,Pesanggrahan Garam
435,Namatanai,PG,79.21,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
436,Ixtapa,MX,71.22,clear sky,20.7,-105.2,hotel la terminal
437,Bartica,GY,84.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
439,Coronado,US,71.11,mist,32.6859,-117.1831,Hilton San Diego Bayfront
444,El Alto,PE,71.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
445,Qui Nhon,VN,72.01,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
450,Kirkuk,IQ,75.38,clear sky,35.4681,44.3922,Cihad Oteli
453,Port-Gentil,GA,76.96,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
458,Safranbolu,TR,71.4,clear sky,41.2508,32.6942,GuleviSafranbolu Hotel
463,Bengkulu,ID,79.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
465,Eyl,SO,83.19,overcast clouds,7.9803,49.8164,Amiin Hotel
474,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
478,Carauari,BR,83.32,overcast clouds,-4.8828,-66.8958,Hotel Fellip
479,Islamkot,PK,88.07,overcast clouds,24.6997,70.177,Haji Hotel
484,Bien Hoa,VN,84.18,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
485,Fare,PF,82.27,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
486,San Policarpo,PH,79.68,overcast clouds,12.1791,125.5072,Agapita M. Nicart
487,Chokwe,MZ,78.04,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
495,Angoche,MZ,82.76,few clouds,-16.2325,39.9086,Guest House HESADA
496,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
498,Weligama,LK,80.06,broken clouds,5.9667,80.4167,Weligama Bay Resort
500,Cockburn Town,TC,78.6,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
501,Cidreira,BR,71.82,overcast clouds,-30.1811,-50.2056,Hotel Castelo
503,Abu Samrah,SY,75.25,clear sky,35.3029,37.1841,
504,Yinchuan,CN,71.42,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
505,Ardakan,IR,90.19,overcast clouds,32.31,54.0175,Ardakan Hotel
511,Nichlaul,IN,89.55,clear sky,27.3167,83.7333,Karan Manes Parler
512,Coromandel,BR,78.6,overcast clouds,-18.4733,-47.2003,Hotel Dona Adélia
515,Phuket,TH,80.82,few clouds,8.0,98.25,The Surin
517,Kismayo,SO,84.83,broken clouds,-0.3582,42.5454,Agan-Hotel
519,Ugoofaaru,MV,84.51,overcast clouds,5.6667,73.0,Ungoofaaru Inn
520,Puerto Guzman,CO,79.95,overcast clouds,0.9703,-76.5858,Hotel Campo Verde
523,Mineiros,BR,77.7,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
524,Rio Claro,BR,79.39,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
526,Quetta,PK,76.66,clear sky,30.199,67.0097,Hotel Deluxe
528,Luwuk,ID,78.08,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
529,Cairns,AU,78.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
