WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Terekli-Mekteb,RU,44.1671,45.8698,66.34,42,48,5.53,scattered clouds
1,Port Elizabeth,ZA,-33.918,25.5701,67.1,78,75,13.8,broken clouds
2,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,40,28.77,scattered clouds
3,Atuona,PF,-9.8,-139.0333,78.84,79,20,21.27,light rain
4,Rikitea,PF,-23.1203,-134.9692,78.89,74,6,17.38,clear sky
5,Qaanaaq,GL,77.484,-69.3632,-2.85,71,9,5.97,clear sky
6,Dingle,PH,10.9995,122.6711,76.1,88,100,4.36,overcast clouds
7,Tabou,CI,4.423,-7.3528,86.07,69,92,10.54,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,41.11,100,75,8.05,broken clouds
9,Waingapu,ID,-9.6567,120.2641,78.82,83,96,3.51,overcast clouds
10,Bintulu,MY,3.1667,113.0333,77.41,100,20,0.0,few clouds
11,Pisco,PE,-13.7,-76.2167,66.25,88,94,1.14,mist
12,Tokomaru,NZ,-40.4667,175.5,44.85,95,0,0.34,clear sky
13,Ushuaia,AR,-54.8,-68.3,38.86,70,0,0.0,clear sky
14,Nikolskoye,RU,59.7035,30.7861,48.09,77,100,10.85,overcast clouds
15,San Cosme Y Damian,PY,-27.3167,-56.35,71.78,75,2,3.71,clear sky
16,Mataura,NZ,-46.1927,168.8643,44.83,96,78,3.71,broken clouds
17,Chuy,UY,-33.6971,-53.4616,74.28,61,0,4.59,clear sky
18,Hambantota,LK,6.1241,81.1185,79.14,94,75,4.61,broken clouds
19,Carnarvon,AU,-24.8667,113.6333,73.47,68,0,19.57,clear sky
20,Sambava,MG,-14.2667,50.1667,79.61,84,31,14.34,light rain
21,Castro,BR,-24.7911,-50.0119,75.07,65,95,5.37,overcast clouds
22,Jamestown,US,42.097,-79.2353,39.02,74,100,12.66,overcast clouds
23,Lubango,AO,-14.9172,13.4925,82.26,28,40,4.61,scattered clouds
24,Karabuk,TR,41.2049,32.6277,73.69,36,7,4.34,clear sky
25,Port Alfred,ZA,-33.5906,26.891,67.17,79,99,4.0,overcast clouds
26,Saint George,US,37.1041,-113.5841,52.39,25,0,0.0,clear sky
27,Chokurdakh,RU,70.6333,147.9167,-25.08,100,73,4.68,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,63.9,60,24,2.91,few clouds
29,Hobart,AU,-42.8794,147.3294,64.26,72,40,10.36,scattered clouds
30,Busselton,AU,-33.65,115.3333,59.49,56,99,5.26,overcast clouds
31,Albany,US,42.6001,-73.9662,44.92,92,100,4.27,light rain
32,Saskylakh,RU,71.9167,114.0833,-9.96,97,34,2.8,scattered clouds
33,Raga,SS,8.4596,25.678,97.68,25,54,12.33,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,81.21,84,46,10.4,light rain
35,Alofi,NU,-19.0595,-169.9187,78.69,89,47,3.44,scattered clouds
36,Mahebourg,MU,-20.4081,57.7,81.25,78,75,6.91,broken clouds
37,Isangel,VU,-19.55,169.2667,80.6,84,100,9.57,overcast clouds
38,Salalah,OM,17.0151,54.0924,87.89,62,0,11.5,clear sky
39,Leningradskiy,RU,69.3833,178.4167,-23.12,98,62,4.54,broken clouds
40,Vila,PT,42.0304,-8.1588,58.69,54,100,5.28,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,66.0,63,32,24.79,scattered clouds
42,Kodinsk,RU,58.6881,99.1844,28.94,98,100,2.33,overcast clouds
43,Cherskiy,RU,68.75,161.3,-8.41,100,97,6.82,overcast clouds
44,Kapaa,US,22.0752,-159.319,73.72,87,100,18.41,overcast clouds
45,Yulara,AU,-25.2406,130.9889,64.24,29,0,3.44,clear sky
46,Guerrero Negro,MX,27.9769,-114.0611,65.16,57,12,8.86,few clouds
47,Caravelas,BR,-17.7125,-39.2481,86.72,57,71,4.74,broken clouds
48,Narsaq,GL,60.9167,-46.05,35.82,45,2,1.19,clear sky
49,Matara,LK,5.9485,80.5353,79.65,80,57,8.93,broken clouds
50,Hilo,US,19.7297,-155.09,69.53,83,100,0.0,overcast clouds
51,La Ronge,CA,55.1001,-105.2842,32.25,74,100,5.75,overcast clouds
